Feature,Importance
num__OverallQual,0.4987786460339002
num__GrLivArea,0.1490091922500394
num__GarageCars,0.04822893330494604
num__TotalBsmtSF,0.03591995247739402
num__BsmtFinSF1,0.03448893497340781
num__1stFlrSF,0.030053352817598043
num__2ndFlrSF,0.02528104861452964
num__LotArea,0.01754749057201269
num__YearBuilt,0.014381440252363096
cat__BsmtQual_Ex,0.01393152545556677
num__YearRemodAdd,0.010346536585353472
num__FullBath,0.010269337539944487
num__Fireplaces,0.008366229319461835
cat__KitchenQual_Ex,0.007599264719432188
num__OverallCond,0.0065815897185594815
cat__KitchenQual_Gd,0.006043289646522128
num__GarageYrBlt,0.005546874606857139
cat__GarageType_Attchd,0.0053996537526145826
cat__MSSubClass_60,0.004394584567594184
num__ScreenPorch,0.004210015934174036
